Name,batch_size,epochs,lr,num_labels,train acc,train loss,val_loss,validation accuracy
increased_attention_and_deep_classification_layer_w_dropout_v4,8,20,0.002,2,0.733398438,0.573813389,0.590834342,0.714174455
Decrease both Lr and Number of Attention,8,50,0.001,2,0.744921875,0.552574475,0.56807965,0.722741433
Decrease both Lr and Number of Attention,8,50,0.001,2,0.740332031,0.552780914,0.566583671,0.720404984
project_ablations_2,8,10,0.001,2,0.755273438,0.54235136,0.56165491,0.725077882
reduced_dropout_same_attention,8,20,0.002,2,0.746777344,0.549595222,0.561325287,0.725077882
zero_DROPOUT,8,20,0.002,2,0.73828125,0.556477036,0.570610657,0.712616822
project_ablations_2,8,1,0.002,2,0.720507813,0.575545107,0.571682396,0.718068536
project_ablations_2,8,5,0.002,2,0.741015625,0.555087122,0.56780193,0.720404984
project_ablations_2,8,50,0.002,2,0.743652344,0.551726069,0.562353079,0.725856698
some_name,8,1,0.002,2,0.712402344,0.578787211,0.56367275,0.72741433
varied_dropout_atten2,8,20,0.002,2,0.7576,0.5429,-,0.7282
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
