"Name","batch_size","epochs","lr","num_labels","scheduler factor","train acc","train loss","val_loss","validation accuracy"
"increased_attention_and_deep_classification_layer_w_dropout_v4","8","20","0.002","2","0.5","0.7333984375","0.5738133894745261","0.5908343422450009","0.7141744548286604"
"Decrease both Lr and Number of Attention","8","50","0.001","2","0.5","0.7449218750000001","0.5525744747370481","0.5680796500307006","0.7227414330218068"
"Decrease both Lr and Number of Attention","8","50","0.001","2","0.5","0.74033203125","0.552780914423056","0.566583670652544","0.720404984423676"
"project_ablations_2","8","1","0.001","2","0.5","0.71015625","0.583591715968214","0.5694631818113297","0.7079439252336448"
"increased_attention_and_deep_classification_layer_w_dropout_v3","8","20","0.002","2","0.5","0.56171875","0.7515430452302099","0.7930125863381264","0.5202492211838006"
"increased_attention_and_deep_classification_layer_w_dropout_v2","8","20","0.002","2","0.5","0.56171875","0.7515431059058756","0.7930126000787611","0.5202492211838006"
"project_ablations_2","8","10","0.001","2","0.5","0.7552734375000001","0.542351359827444","0.5616549099345817","0.7250778816199377"
"project_ablations_2","8","1","0.01","2","0.5","0.71162109375","0.5811728538013995","0.6041116307829028","0.6923676012461059"
"increased_attention_and_deep_classification_layer_w_dropout","8","20","0.002","2","0.5","0.733984375","0.5741687342058868","0.5970102414906582","0.7102803738317757"
"reduced_dropout_increased_attention_and_deep_classification_layer","8","20","0.002","2","0.5","0.73193359375","0.5620216067414731","0.5776145608625679","0.7118380062305296"
"reduced_dropout_increased_attention","8","20","0.002","2","0.5","0.73388671875","0.560107959387824","0.5754135877729576","0.7126168224299065"
"project_ablations_2","6","10","0.001","2","","0.73583984375","0.5571782504732254","0.5689242945931782","0.719626168224299"
"reduced_dropout_same_attention","8","20","0.002","2","0.5","0.74677734375","0.5495952220866457","0.5613252869647611","0.7250778816199377"
"zero_DROPOUT","8","20","0.002","2","0.5","0.73828125","0.5564770356751978","0.5706106574735909","0.7126168224299065"
"project_ablations_2","4","20","0.001","2","","0.7352539062500001","0.5587326910579578","0.5765829489238536","0.7118380062305296"
"project_ablations_2","4","1","0.001","2","","0.7210937500000001","0.5743305099662394","0.5792428428695952","0.720404984423676"
"project_ablations_2","4","1","0.001","2","","","","",""
"project_ablations_2","16","1","0.001","2","","","","",""
"project_ablations_2","8","1","0.002","2","0.5","0.7205078125000001","0.5755451066652313","0.5716823963361366","0.7180685358255452"
"project_ablations_2","8","5","0.002","2","0.5","0.7410156250000001","0.5550871223211289","0.5678019300799504","0.720404984423676"
"project_ablations_2","8","50","0.002","2","0.5","0.74365234375","0.5517260689986869","0.5623530791927349","0.7258566978193146"
"some_name","8","1","0.002","2","0.5","0.71240234375","0.5787872113287449","0.5636727497956463","0.7274143302180686"
