"Name","batch_size","epochs","lr","num_labels","train acc","train_acc","train loss","val accuracy","val_loss","validation accuracy"
"base-line","8","20","0.002","2","0.73935546875","","0.5545960071031004","","0.568859389637861","0.7188473520249221"
"increased_atten_and_dropout","8","20","0.002","2","0.732421875","","0.5588240260258317","0.7110591900311526","0.5733685279932349",""
"increased_atten_dropout","8","20","0.002","2","0.7576171875000001","","0.5417269095778465","0.7266355140186915","0.5596342703263708",""
"varied_dropout_atten2","8","20","0.002","2","0.7576171875000001","","0.5428662718273699","0.7281931464174455","0.5591733106571566",""
"varied_dropout_atten","8","20","0.002","2","0.74921875","","0.5480163838714361","0.7227414330218068","0.564710282276724",""
"varied_hidden_size","8","20","0.002","2","0.7548828125","","0.5444924753159285","0.7242990654205608","0.5684794320310016",""
"varied_attention","8","50","0.002","2","0.7577148437500001","0.7580078125","0.5429277469404041","0.720404984423676","0.5622620977159601","0.720404984423676"
"project_ablations_2","8","50","0.002","2","0.749609375","","0.546322574163787","","0.5608653758545159","0.7258566978193146"
"project_ablations_2","8","50","0.002","2","[0.7264648437500001]","","[0.566045866953209]","","[0.5763220651498836]","[0.7102803738317757]"
"project-1_abltions","8","50","0.002","2","","","[0.5818768938770518,0.5655733536696061,0.5640395985217765,0.5638820306863636,0.5626162798842416]","","","[0.7110591900311526,0.720404984423676,0.7110591900311526,0.7110591900311526,0.7102803738317757]"
